id,slug,nom,prix,description,categorie,restaurant_id,calories,temps_preparation_min,vegetarien,vegan,epice,allergenes,disponible,image,created_at
1,burger-classic,Burger Classic,12.9,"Pain brioché grillé, steak haché 180g, cheddar fondant, salade croquante, tomates fraîches et notre sauce maison. Servi avec frites croustillantes.",Pâtes,101,425,17,false,false,false,,true,https://images.unsplash.com/photo-1519708227418-c8fd9a32b7a2?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4MTM5MDN8MHwxfHNlYXJjaHwxfHxtZWFsfGVufDB8fHx8MTc1OTk0NTkwNHww&ixlib=rb-4.1.0&q=80&w=1080,2025-10-12 10:52:05.465853+00
2,pizza-margherita,Pizza Margherita,11.5,"Base sauce tomate maison, mozzarella di bufala crémeuse, basilic frais et huile d'olive extra vierge. Pâte fine cuite au four à pierre.",Plat principal,110,759,21,true,false,false,,true,https://images.unsplash.com/photo-1564436872-f6d81182df12?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4MTM5MDN8MHwxfHNlYXJjaHwyfHxtZWFsfGVufDB8fHx8MTc1OTk0NTkwNHww&ixlib=rb-4.1.0&q=80&w=1080,2025-10-12 10:52:05.465853+00
3,salade-cesar-rousse,Salade César Rousse,13.9,"Cœur de romaine croquante, poulet rôti émincé, copeaux de parmesan, croûtons dorés à l'ail et sauce César crémeuse préparée minute.",Boisson,90,518,21,false,false,true,Crustacés;Moutarde,true,https://images.unsplash.com/photo-1484980972926-edee96e0960d?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4MTM5MDN8MHwxfHNlYXJjaHwzfHxtZWFsfGVufDB8fHx8MTc1OTk0NTkwNHww&ixlib=rb-4.1.0&q=80&w=1080,2025-10-12 10:52:05.465853+00
4,sushi-mix-classique,Sushi Mix Classique,18.5,"Assortiment de 12 pièces : 6 makis saumon avocat, 3 california rolls et 3 nigiris (saumon, thon, daurade). Servi avec sauce soja, gingembre et wasabi.",Salade,110,400,18,true,false,false,Gluten;Lactose,true,https://images.unsplash.com/photo-1490645935967-10de6ba17061?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4MTM5MDN8MHwxfHNlYXJjaHw0fHxtZWFsfGVufDB8fHx8MTc1OTk0NTkwNHww&ixlib=rb-4.1.0&q=80&w=1080,2025-10-12 10:52:05.465853+00
5,pates-carbonara,Pâtes Carbonara,14.9,"Spaghetti al dente, pancetta croustillante, jaunes d'œufs crémeux, pecorino romano et poivre noir du moulin. Recette romaine authentique.",Boisson,115,478,10,false,false,false,Sésame;Moutarde,true,https://images.unsplash.com/photo-1592417817038-d13fd7342605?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4MTM5MDN8MHwxfHNlYXJjaHw1fHxtZWFsfGVufDB8fHx8MTc1OTk0NTkwNHww&ixlib=rb-4.1.0&q=80&w=1080,2025-10-12 10:52:05.465853+00
6,tacos-poulet,Tacos Poulet,9.9,"Galette de blé garnie de poulet mariné, frites, cheddar fondu, sauce algérienne et sauce blanche. Le tout gratiné à la plancha.",Entrée,108,628,21,false,false,false,Œufs;Gluten,true,https://images.unsplash.com/photo-1574484284002-952d92456975?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4MTM5MDN8MHwxfHNlYXJjaHw2fHxtZWFsfGVufDB8fHx8MTc1OTk0NTkwNHww&ixlib=rb-4.1.0&q=80&w=1080,2025-10-12 10:52:05.465853+00
7,entrecote-grillee,Entrecôte Grillée,24.9,"Entrecôte maturée 300g, grillée à la perfection, accompagnée de frites maison et salade verte. Choix de sauce : poivre, béarnaise ou maître d'hôtel.",Accompagnement,114,367,23,false,false,false,,true,https://images.unsplash.com/photo-1600335895229-6e75511892c8?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4MTM5MDN8MHwxfHNlYXJjaHw3fHxtZWFsfGVufDB8fHx8MTc1OTk0NTkwNHww&ixlib=rb-4.1.0&q=80&w=1080,2025-10-12 10:52:05.465853+00
8,tartare-de-saumon,Tartare de Saumon,16.5,"Saumon frais coupé au couteau, assaisonné à l'aneth, huile d'olive, citron vert et échalotes. Servi avec toast de pain de campagne grillé.",Pâtes,94,758,12,false,false,false,Gluten;Lactose,true,https://images.unsplash.com/photo-1564671165093-20688ff1fffa?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4MTM5MDN8MHwxfHNlYXJjaHw4fHxtZWFsfGVufDB8fHx8MTc1OTk0NTkwNHww&ixlib=rb-4.1.0&q=80&w=1080,2025-10-12 10:52:05.465853+00
9,ravioles-du-dauphine,Ravioles du Dauphiné,15.9,"Ravioles fraîches gratinées à la crème, parsemées de comté râpé et noisettes de beurre. Spécialité savoyarde réconfortante.",Plat principal,98,685,25,true,false,true,,true,https://images.unsplash.com/photo-1572424117831-005b5e9b3ae4?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4MTM5MDN8MHwxfHNlYXJjaHw5fHxtZWFsfGVufDB8fHx8MTc1OTk0NTkwNHww&ixlib=rb-4.1.0&q=80&w=1080,2025-10-12 10:52:05.465853+00
10,burger-veggie,Burger Veggie,13.5,"Steak de légumes maison (quinoa, haricots rouges, épices), avocat frais, tomates, roquette et sauce curry-mangue. Pain complet aux graines.",Accompagnement,86,307,11,false,false,false,Œufs;Soja,true,https://images.unsplash.com/photo-1608835291093-394b0c943a75?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4MTM5MDN8MHwxfHNlYXJjaHwxMHx8bWVhbHxlbnwwfHx8fDE3NTk5NDU5MDR8MA&ixlib=rb-4.1.0&q=80&w=1080,2025-10-12 10:52:05.465853+00
